"source";"user_id";"created_at";"screen_name";"text";"retweet_count";"reply_to_user_id";"is_retweet";"favorite_count"
"Twitter for iPhone";"999578121123848192";2020-03-21 21:34:46;"GiuseppeConteIT";"Fra poco sarò in diretta sulla mia pagina Facebook per darvi alcuni aggiornamenti https://t.co/pWzpSLBmhX";1205;NA;FALSE;9294
"Twitter for iPhone";"999578121123848192";2020-03-19 07:18:52;"GiuseppeConteIT";"Questo è il tempo della riscoperta. Del valore di un abbraccio, dell’importanza di guardarsi negli occhi, del calore di una stretta di mano. Auguri ai papà d’Italia, in particolare a quelli che oggi sono distanti dai propri figli. Presto torneremo a stringerci più forte di prima https://t.co/lgiUwt9v2T";1219;NA;FALSE;10454
"Twitter for iPhone";"999578121123848192";2020-03-18 23:42:17;"GiuseppeConteIT";"L’Europa batte un colpo! Forte, sonoro, adeguato alla gravità dell’emergenza sanitaria che stiamo affrontando e dello shock economico che ne consegue. Bene la BCE https://t.co/ScLL5gmsUP";1215;NA;FALSE;6280
"Twitter for iPhone";"999578121123848192";2020-03-17 18:47:03;"GiuseppeConteIT";"Uniti ce la faremo <U+0001F1EE><U+0001F1F9> https://t.co/tyfWQh96qi";1783;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:08;"GiuseppeConteIT";"Mai come adesso l’Italia ha bisogno di essere unita. Sventoliamo orgogliosi il nostro Tricolore. Intoniamo fieri il nostro Inno nazionale. Uniti, responsabili, coraggiosi. #17Marzo https://t.co/f87CoXGoxa";969;"999578121123848192";FALSE;5192
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:06;"GiuseppeConteIT";"Grazie ai farmacisti, a chi continua ad andare in fabbrica, a chi lavora nei supermercati, grazie ai tassisti che in queste ore accompagnano gratuitamente i medici in ospedale.
Grazie a chi rispetta le regole.";662;"999578121123848192";FALSE;4727
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:05;"GiuseppeConteIT";"Grazie a coloro che stanno donando il sangue. Grazie ai medici e agli infermieri, ai volontari della protezione civile, ai vigili del fuoco, alle donne e agli uomini delle forze armate e delle forze dell’ordine, per gli sforzi straordinari che stanno compiendo.";334;"999578121123848192";FALSE;2256
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:05;"GiuseppeConteIT";"Ebbene, che tutti sappiano che lo Stato è al loro fianco, non li lascerà soli. Lo Stato non è solo strutture e istituzioni. Lo Stato siamo noi: 60 milioni di cittadini che lottano insieme, con forza e coraggio, per sconfiggere questo nemico invisibile.";304;"999578121123848192";FALSE;2173
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:05;"GiuseppeConteIT";"Oggi stiamo affrontando una nuova prova. Difficilissima. Sono tanti gli italiani che in queste ore versano lacrime per la perdita di un familiare, che vivono l’angoscia di un ricovero, la lontananza dei propri cari, la chiusura della propria attività, l’incertezza del futuro.";336;"999578121123848192";FALSE;2379
"Twitter for iPhone";"999578121123848192";2020-03-17 09:06:04;"GiuseppeConteIT";"159 anni fa veniva proclamata l’Unità d’Italia. Da allora il nostro Paese ha affrontato mille difficoltà, guerre mondiali, il regime fascista. Ma gli italiani, con orgoglio e determinazione, hanno sempre saputo rialzarsi e ripartire. A testa alta.";3191;NA;FALSE;18301
"Twitter for iPhone";"999578121123848192";2020-03-16 16:20:18;"GiuseppeConteIT";"Con il decreto #CuraItalia diamo una prima importante risposta alle difficoltà economiche degli italiani. Grazie alle forze politiche, comprese le opposizioni, ai governi locali, ai sindacati, alle categorie imprenditoriali e professionali per il prezioso contributo";871;NA;FALSE;5935
"Twitter for iPhone";"999578121123848192";2020-03-16 13:49:35;"GiuseppeConteIT";"<U+0001F534> In diretta da Palazzo Chigi:  https://t.co/uqpqPUcEYB";237;NA;FALSE;1243
"Twitter for iPhone";"999578121123848192";2020-03-16 11:02:07;"GiuseppeConteIT";"Non possiamo abbassare la guardia. Combattiamo la sfida più importante degli ultimi decenni, la più grave dal dopoguerra e per vincerla serve il contributo responsabile di 60 milioni di italiani. Qui la mia intervista a @Corriere <U+27A1><U+FE0F> https://t.co/O8qSx1ALPY
Uniti ce la faremo <U+0001F1EE><U+0001F1F9>";844;NA;FALSE;4109
"Twitter for iPhone";"999578121123848192";2020-03-14 18:05:12;"GiuseppeConteIT";"THE UNITED STATES LOVES ITALY! https://t.co/DESUJ4QM41";114620;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-14 18:00:30;"GiuseppeConteIT";"Ognuno di noi, con la propria determinazione, può offrire un prezioso contributo per vincere questa battaglia. Facciamo risuonare ancora il nostro Inno. Possono separarci una porta, un balcone, una strada. Ma niente e nessuno potrà separare i nostri cuori. Uniti ce la faremo <U+0001F1EE><U+0001F1F9> https://t.co/9kLUx3f1yO";7224;NA;FALSE;32542
"Twitter for iPhone";"999578121123848192";2020-03-14 08:46:54;"GiuseppeConteIT";"Dopo diciotto ore di un lungo e approfondito confronto, è stato finalmente siglato tra sindacati e associazioni di categoria il protocollo di sicurezza nei luoghi di lavoro. Per il bene del Paese, per la tutela della salute di lavoratrici e lavoratori. L’Italia non si ferma.";2536;NA;FALSE;19980
"Twitter for iPhone";"999578121123848192";2020-03-11 23:35:51;"GiuseppeConteIT";"Firmato il decreto, ecco le nuove misure: https://t.co/r6CFi6ak9A";1148;NA;FALSE;5679
"Twitter for iPhone";"999578121123848192";2020-03-11 22:08:38;"GiuseppeConteIT";"Il Paese ha bisogno della responsabilità di ognuno di voi, ha bisogno di 60 milioni di piccoli grandi sacrifici. Rimaniamo distanti oggi per abbracciarci con più calore e per correre insieme più veloci domani. Tutti insieme ce la faremo <U+0001F1EE><U+0001F1F9> https://t.co/PWM4I3l0cZ";4180;NA;FALSE;16026
"Twitter for iPhone";"999578121123848192";2020-03-11 20:50:30;"GiuseppeConteIT";"Un messaggio per voi: https://t.co/oY0xKVMBYl";769;NA;FALSE;3080
"Twitter for iPhone";"999578121123848192";2020-03-11 19:38:10;"GiuseppeConteIT";"Questa sera mi collegherò in diretta per darvi alcuni importanti aggiornamenti https://t.co/mbaq14wNPd";1591;NA;FALSE;10193
"Twitter for iPhone";"999578121123848192";2020-03-11 19:17:48;"GiuseppeConteIT";"Cari italiani, in questo momento difficile, voglio dirvi che non siete soli. L’Italia è parte dell’Europa, e l’Europa soffre con l’Italia. In <U+0001F1EA><U+0001F1FA>siamo tutti italiani. The @EU_Commission will channel several billions of € to <U+0001F1EE><U+0001F1F9> to help SMEs, healthcare sector &amp; the people #COVID19 https://t.co/2ZN4qXz61Y";6665;NA;TRUE;0
"Twitter for iPhone";"999578121123848192";2020-03-11 17:30:22;"GiuseppeConteIT";"Ai tanti cittadini preoccupati per il lavoro, per le loro attività, alle mamme, ai papà, ai nonni e agli amici che oggi devono rimandare il loro abbraccio, voglio dire che lo Stato non si dimentica di voi. È al vostro fianco oggi e lo sarà domani: https://t.co/gdvgqb5EuO https://t.co/aPRXhifaT0";1029;NA;FALSE;6033
"Twitter for iPhone";"999578121123848192";2020-03-11 10:59:52;"GiuseppeConteIT";"Il Consiglio dei Ministri ha approvato lo stanziamento straordinario di 25 miliardi di euro per far fronte alle difficoltà che il Paese sta vivendo a causa del #coronavirus. Stiamo facendo tutto ciò che è necessario, con ogni strumento a disposizione. Insieme ce la faremo";2801;NA;FALSE;16374
"Twitter for iPhone";"999578121123848192";2020-03-11 09:59:14;"GiuseppeConteIT";"In diretta da Palazzo Chigi: https://t.co/dqAOKmrcgL";130;NA;FALSE;571
